file,query,evidence,intervention
tree_70_6.lp,reach(77),\+reach(77);reach(3),reach(53);reach(33)
tree_20_24.lp,reach(45),\+reach(45);reach(37),reach(31);reach(23)
tree_90_12.lp,reach(103),\+reach(103);\+reach(21),reach(30);reach(91)
tree_170_4.lp,reach(175),\+reach(175);\+reach(149),reach(166);reach(132)
tree_160_7.lp,reach(168),\+reach(168);\+reach(2),reach(139);reach(62)
tree_80_23.lp,reach(104),\+reach(104);reach(69),reach(34);reach(30)
tree_110_23.lp,reach(134),\+reach(134);\+reach(18),reach(95);reach(17)
tree_100_6.lp,reach(107),\+reach(107);reach(65),reach(65);reach(67)
tree_70_20.lp,reach(91),\+reach(91);reach(30),reach(12);reach(28)
tree_30_8.lp,reach(39),\+reach(39);reach(8),reach(17);reach(7)
tree_120_15.lp,reach(136),\+reach(136);reach(65),reach(86);reach(130)
tree_40_14.lp,reach(55),\+reach(55);\+reach(13),reach(10);reach(51)
tree_150_1.lp,reach(152),\+reach(152);reach(42),reach(71);reach(67)
tree_50_15.lp,reach(66),\+reach(66);reach(40),reach(11);reach(36)
tree_30_23.lp,reach(54),\+reach(54);\+reach(44),reach(32);reach(17)
tree_80_4.lp,reach(85),\+reach(85);reach(7),reach(28);reach(72)
tree_130_6.lp,reach(137),\+reach(137);\+reach(102),reach(101);reach(0)
tree_130_2.lp,reach(133),\+reach(133);\+reach(40),reach(92);reach(6)
tree_200_1.lp,reach(202),\+reach(202);reach(166),reach(49);reach(174)
tree_140_7.lp,reach(148),\+reach(148);\+reach(125),reach(15);reach(43)
tree_50_21.lp,reach(72),\+reach(72);reach(62),reach(28);reach(0)
tree_130_4.lp,reach(135),\+reach(135);reach(125),reach(101);reach(71)
tree_200_4.lp,reach(205),\+reach(205);\+reach(48),reach(14);reach(184)
tree_160_2.lp,reach(163),\+reach(163);\+reach(33),reach(117);reach(25)
tree_160_8.lp,reach(169),\+reach(169);\+reach(90),reach(13);reach(134)
tree_150_2.lp,reach(153),\+reach(153);reach(62),reach(68);reach(1)
tree_90_17.lp,reach(108),\+reach(108);\+reach(105),reach(7);reach(53)
tree_190_1.lp,reach(192),\+reach(192);\+reach(133),reach(119);reach(13)
tree_130_14.lp,reach(145),\+reach(145);\+reach(24),reach(54);reach(89)
tree_140_16.lp,reach(157),\+reach(157);reach(48),reach(137);reach(96)
tree_140_19.lp,reach(160),\+reach(160);\+reach(144),reach(86);reach(85)
tree_80_19.lp,reach(100),\+reach(100);\+reach(44),reach(11);reach(51)
tree_200_17.lp,reach(218),\+reach(218);\+reach(212),reach(57);reach(12)
tree_180_10.lp,reach(191),\+reach(191);reach(94),reach(23);reach(7)
tree_130_23.lp,reach(154),\+reach(154);reach(130),reach(22);reach(115)
tree_120_11.lp,reach(132),\+reach(132);\+reach(58),reach(121);reach(43)
tree_130_20.lp,reach(151),\+reach(151);reach(104),reach(127);reach(23)
tree_130_12.lp,reach(143),\+reach(143);reach(24),reach(25);reach(41)
tree_190_22.lp,reach(213),\+reach(213);reach(1),reach(111);reach(153)
tree_100_21.lp,reach(122),\+reach(122);\+reach(82),reach(110);reach(24)
tree_100_22.lp,reach(123),\+reach(123);reach(55),reach(100)
tree_200_7.lp,reach(208),\+reach(208);reach(85),reach(21);reach(185)
tree_190_11.lp,reach(202),\+reach(202);reach(102),reach(156);reach(123)
tree_200_10.lp,reach(211),\+reach(211);\+reach(17),reach(82);reach(156)
tree_170_13.lp,reach(184),\+reach(184);reach(117),reach(89);reach(84)
tree_200_5.lp,reach(206),\+reach(206);reach(155),reach(59);reach(139)
tree_200_11.lp,reach(212),\+reach(212);reach(178),reach(122);reach(148)
tree_130_24.lp,reach(155),\+reach(155);reach(124),reach(109);reach(30)
tree_170_16.lp,reach(187),\+reach(187);reach(137),reach(127);reach(4)
tree_200_18.lp,reach(219),\+reach(219);\+reach(170),reach(173);reach(129)
tree_130_21.lp,reach(152),\+reach(152);reach(94),reach(30);reach(9)
tree_20_19.lp,reach(40),\+reach(40);reach(10),reach(23);reach(29)
tree_180_25.lp,reach(206),\+reach(206);\+reach(79),reach(92);reach(128)
tree_170_23.lp,reach(194),\+reach(194);\+reach(176),reach(41);reach(184)
tree_140_25.lp,reach(166),\+reach(166);\+reach(71),reach(86);reach(92)
tree_90_21.lp,reach(112),\+reach(112);reach(54),reach(88);reach(25)
tree_110_25.lp,reach(136),\+reach(136);reach(3),reach(72);reach(25)
tree_190_21.lp,reach(212),\+reach(212);\+reach(122),reach(166);reach(111)
tree_160_22.lp,reach(183),\+reach(183);reach(162),reach(62);reach(123)
tree_160_24.lp,reach(185),\+reach(185);\+reach(9),reach(132);reach(33)
tree_160_9.lp,reach(170),\+reach(170);\+reach(4),reach(107);reach(31)
tree_130_11.lp,reach(142),\+reach(142);reach(24),reach(131);reach(97)
tree_150_20.lp,reach(171),\+reach(171);reach(111),reach(159);reach(102)
tree_180_17.lp,reach(198),\+reach(198);\+reach(168),reach(136);reach(99)
tree_190_13.lp,reach(204),\+reach(204);reach(199),reach(124);reach(146)
tree_100_25.lp,reach(126),\+reach(126);\+reach(4),reach(108)
tree_160_14.lp,reach(175),\+reach(175);reach(83),reach(164);reach(134)
tree_130_10.lp,reach(141),\+reach(141);reach(49),reach(2);reach(119)
tree_150_11.lp,reach(162),\+reach(162);\+reach(15),reach(5);reach(21)
tree_80_14.lp,reach(95),\+reach(95);\+reach(89),reach(3);reach(70)
tree_170_22.lp,reach(193),\+reach(193);reach(183),reach(175);reach(42)
tree_180_13.lp,reach(194),\+reach(194);reach(87),reach(72);reach(105)
tree_180_15.lp,reach(196),\+reach(196);reach(95),reach(142);reach(123)
tree_170_21.lp,reach(192),\+reach(192);reach(74),reach(116);reach(93)
tree_200_19.lp,reach(220),\+reach(220);\+reach(202),reach(20);reach(23)
tree_170_20.lp,reach(191),\+reach(191);\+reach(33),reach(46);reach(129)
tree_190_24.lp,reach(215),\+reach(215);reach(122),reach(65);reach(182)
tree_200_22.lp,reach(223),\+reach(223);reach(136),reach(57);reach(90)
tree_140_21.lp,reach(162),\+reach(162);reach(74),reach(75);reach(118)
tree_160_12.lp,reach(173),\+reach(173);reach(86),reach(33);reach(117)
tree_200_21.lp,reach(222),\+reach(222);reach(126),reach(206);reach(48)
tree_170_10.lp,reach(181),\+reach(181);reach(56),reach(144);reach(15)
tree_190_8.lp,reach(199),\+reach(199);reach(88),reach(144);reach(121)
tree_200_20.lp,reach(221),\+reach(221);\+reach(26),reach(123);reach(193)
tree_120_9.lp,reach(130),\+reach(130);reach(73),reach(7);reach(3)
tree_110_11.lp,reach(122),\+reach(122);reach(88),reach(63);reach(31)
tree_200_9.lp,reach(210),\+reach(210);reach(163),reach(8);reach(183)
tree_190_18.lp,reach(209),\+reach(209);\+reach(53),reach(141);reach(183)
tree_150_5.lp,reach(156),\+reach(156);\+reach(40),reach(46);reach(56)
tree_90_24.lp,reach(115),\+reach(115);\+reach(39),reach(74);reach(78)
tree_150_12.lp,reach(163),\+reach(163);\+reach(128),reach(1);reach(159)
tree_150_24.lp,reach(175),\+reach(175);reach(154),reach(66);reach(162)
tree_200_23.lp,reach(224),\+reach(224);\+reach(148),reach(150);reach(179)
tree_180_22.lp,reach(203),\+reach(203);reach(9),reach(22);reach(188)
tree_170_18.lp,reach(189),\+reach(189);reach(144),reach(12);reach(14)
tree_150_10.lp,reach(161),\+reach(161);\+reach(5),reach(95);reach(13)
tree_190_15.lp,reach(206),\+reach(206);reach(94),reach(18);reach(173)
tree_20_7.lp,reach(28),\+reach(28);reach(24),reach(9);reach(3)
tree_50_9.lp,reach(60),\+reach(60);reach(27),reach(26)
tree_110_9.lp,reach(120),\+reach(120);reach(88),reach(5);reach(106)
tree_120_20.lp,reach(141),\+reach(141);\+reach(46),reach(114);reach(116)
tree_150_14.lp,reach(165),\+reach(165);reach(84),reach(33);reach(90)
tree_170_19.lp,reach(190),\+reach(190);\+reach(125),reach(170);reach(126)
tree_170_12.lp,reach(183),\+reach(183);reach(106),reach(24);reach(80)
tree_130_25.lp,reach(156),\+reach(156);reach(64),reach(49);reach(14)
tree_40_10.lp,reach(51),\+reach(51);\+reach(42),reach(24);reach(1)
tree_20_1.lp,reach(22),\+reach(22);reach(4),reach(2);reach(1)
tree_140_15.lp,reach(156),\+reach(156);reach(132),reach(104);reach(69)
tree_100_24.lp,reach(125),\+reach(125);reach(68),reach(46);reach(11)
tree_40_4.lp,reach(45),\+reach(45);\+reach(5),reach(0);reach(4)
tree_60_18.lp,reach(79),\+reach(79);\+reach(68),reach(4);reach(70)
tree_170_24.lp,reach(195),\+reach(195);reach(165),reach(130);reach(68)
tree_110_3.lp,reach(114),\+reach(114);reach(24),reach(90);reach(0)
tree_120_6.lp,reach(127),\+reach(127);\+reach(99),reach(89);reach(17)
tree_150_21.lp,reach(172),\+reach(172);reach(142),reach(77);reach(70)
tree_140_23.lp,reach(164),\+reach(164);\+reach(118),reach(125);reach(37)
tree_190_25.lp,reach(216),\+reach(216);reach(113),reach(164);reach(9)
